momentum [MeV/c]	total energy [MeV]	kinetic energy [MeV]	\gamma	\beta	drf1 [m]	drf2 [m]	elcRds [m]	bending angle [dgr]	inc angle in [dgr]	inc angle out [dgr]	fringe extend ups [m]	fringe extend dws [m]	fringe backoff [m]	side logic	front screen [m]	side screen [m]	bending angle at front screen [dgr]	bending angle at side screen [dgr]	total path [m]	max B [T]	eff length ups [m]	eff length dws [m]	ups boundary s [m]	center s [m]	dws boundary s [m]	ups Enge 0	ups Enge 1	ups Enge 2	ups Enge 3	ups Enge 4	ups Enge 5	dws Enge 0	dws Enge 1	dws Enge 2	dws Enge 3	dws Enge 4	dws Enge 5	ups fit cost	ups normalized cost	ups fit error	dws fit cost	dws normalized cost	dws fit error	x[mm](rms)	xp[mm](rms)	y[mm](rms)	yp[mm](rms)	"x[mm](rms,b)"	"xp[mm](rms,b)"	"y[mm](rms,b)"	"yp[mm](rms,b)"	x conv fct rms	y conv fct rms	momentum rsl rms [%]	x[mm](fwhm)	xp[mm](fwhm)	y[mm](fwhm)	yp[mm](fwhm)	"x[mm](fwhm,b)"	"xp[mm](fwhm,b)"	"y[mm](fwhm,b)"	"yp[mm](fwhm,b)"	x conv fct fwhm	y conv fct fwhm	momentum rsl [%/mrad]	peak momentum error [%]	arc Coeff [MeV/mm2]
5960	5960.000022	5959.489023	11663.42659	0.999999996	11.76909202	0.945399128	19.8528798	4.489144629	-2.38986368	-65.08887351	0.500592019	0.543427814	0	0	0.134772206	1.699514793	4.489144629	-85.51085537	14.27047131	1.001387218	0.697788905	0.858191263	11.76909202	12.46688092	13.32507219	0.967397686	1.397586073	-0.794567318	0.324874312	-0.057737419	0.00355828	-0.142852705	2.236759044	0.542133521	-0.374221022	-0.107113539	0.046812337	0.016060051	1.091036071	0.001440586	0.035092978	8.795232549	0.000538673	2.4674	0.098625	2.956	0.46879	2.8719	0.20063	2.7785	0.1947	0.85916	1.0639	2.0338	4.5036	0.20646	6.4033	1.0144	5.0839	0.40741	5.7123	0.39931	0.88586	1.121	18.4815	0.023794	-0.21115
5965	5965.000022	5964.489023	11673.21134	0.999999996	11.76934239	0.944918607	19.8695701	4.486018345	-2.389277787	-64.57717617	0.500842394	0.542953909	0	0	0.134670359	1.699521408	4.486018345	-85.51398165	14.2704647	1.001385444	0.697789896	0.8584138	11.76934239	12.46713229	13.32554609	0.958215683	1.407419095	-0.801173191	0.327052802	-0.05807568	0.00357801	-0.134600608	2.16870284	0.500171703	-0.340769238	-0.092244275	0.039551158	0.01605893	1.090959916	0.00144488	0.03627547	8.84336184	0.000567541	2.4684	0.091825	2.9575	0.46343	2.8598	0.19979	2.7988	0.19613	0.86311	1.0567	2.0347	4.5126	0.19467	6.2802	0.97881	4.9238	0.40117	5.8336	0.40861	0.91649	1.0766	18.704	-0.012674	-0.044813
5970	5970.000022	5969.489023	11682.99609	0.999999996	11.76909576	0.944942572	19.88617513	4.482895043	-2.388622405	-64.01440366	0.500595756	0.542984477	0	0	0.13456864	1.69952801	4.482895043	-85.51710496	14.27045809	1.001387967	0.698287894	0.858131873	11.76909576	12.46738365	13.32551552	0.967294315	1.39649786	-0.794994246	0.32614116	-0.058161643	0.003596245	-0.138938208	2.17151019	0.500899232	-0.342435563	-0.092518473	0.03979875	0.016060204	1.091046442	0.001447675	0.036276179	8.843534611	0.000574563	2.4393	0.083651	3.0173	0.46669	2.8221	0.19716	2.8632	0.20064	0.86433	1.0538	2.0514	4.5028	0.17993	6.2874	0.96687	5.106	0.40369	5.679	0.40094	0.88186	1.1071	18.607	0.059641	-0.091139
5975	5975.000022	5974.489023	11692.78085	0.999999996	11.76934612	0.944463685	19.90286541	4.479774641	-2.387907199	-63.58671551	0.500846118	0.542512181	0	0	0.134467047	1.699534601	4.479774641	-85.52022536	14.2704515	1.001386196	0.698288885	0.858352816	11.76934612	12.467635	13.32598782	0.958079233	1.406974924	-0.801389453	0.327657897	-0.058279937	0.003596447	-0.131160472	2.112545358	0.465872774	-0.315113921	-0.080879475	0.034231972	0.01605937	1.090989795	0.001448961	0.037570716	8.945408661	0.000600489	2.4178	0.077746	3.0291	0.46399	2.7975	0.19543	2.8832	0.20204	0.86428	1.0506	2.0326	4.473	0.16843	6.3126	0.97156	5.1741	0.41334	5.7761	0.40503	0.86451	1.0929	18.442	0.0089902	-0.14427
5980	5980.000022	5979.489023	11702.5656	0.999999996	11.76909946	0.944489311	19.91947034	4.476657127	-2.3871445	-62.98495297	0.500599464	0.542544386	0	0	0.13436558	1.699541178	4.476657127	-85.52334287	14.27044493	1.001388719	0.698786882	0.858069269	11.76909946	12.46788635	13.32595561	0.967180115	1.395859621	-0.795234864	0.326907342	-0.058424177	0.003620141	-0.135539858	2.115760872	0.466774903	-0.316845006	-0.081193424	0.034482723	0.016061002	1.091100668	0.001452841	0.037573757	8.946132735	0.000608132	2.4637	0.072178	3.0075	0.45458	2.8412	0.19849	2.8537	0.19997	0.86715	1.0539	2.0374	4.6139	0.15484	6.3461	0.95977	5.1595	0.40896	5.8348	0.40824	0.89426	1.0876	18.9775	0.01318	-0.21756
5985	5985.000022	5984.489023	11712.35036	0.999999996	11.76934981	0.944012064	19.9361606	4.473542578	-2.386064471	-62.71458366	0.500849807	0.542073704	0	0	0.134264239	1.699547743	4.473542578	-85.52645742	14.27043836	1.001386952	0.698787871	0.858288618	11.76934981	12.46813768	13.3264263	0.957994294	1.405758952	-0.801825375	0.329010119	-0.058735307	0.003637389	-0.127265708	2.061740787	0.435089686	-0.292920178	-0.071392187	0.029900606	0.016060664	1.091077745	0.00145721	0.038698394	9.00381431	0.000635078	2.4494	0.068606	2.9789	0.44757	2.8151	0.19667	2.8394	0.19897	0.8701	1.0491	2.0394	4.6356	0.14745	6.328	0.95263	5.2391	0.41039	5.8111	0.4058	0.88481	1.0889	19.293	-0.043013	-0.017021
5990	5990.000022	5989.489023	11722.13511	0.999999996	11.76910314	0.94403924	19.95276542	4.47043114	-2.385187668	-61.95349787	0.500603138	0.542107433	0	0	0.134163028	1.699554296	4.47043114	-85.52956886	14.27043181	1.001389476	0.699285866	0.858003563	11.76910314	12.468389	13.32639257	0.967026997	1.396254347	-0.795238261	0.326643567	-0.058325753	0.00361093	-0.131620275	2.065269724	0.43605936	-0.294669946	-0.071719923	0.03014642	0.016061283	1.091119768	0.001452201	0.038685974	8.971700848	0.000642996	2.483	0.061272	2.9846	0.44127	2.8433	0.19864	2.8456	0.19941	0.87326	1.0489	2.0734	4.5797	0.13025	6.2583	0.92062	5.1419	0.40025	5.6798	0.39741	0.89068	1.1018	18.512	0.041565	-0.29557
5995	5995.000022	5994.489023	11731.91986	0.999999996	11.76909635	0.943827288	19.96937016	4.467322772	-2.384240772	-60.89593117	0.500596348	0.541902022	0	0	0.134061946	1.699560836	4.467322772	-85.53267723	14.27042527	1.001391999	0.69978386	0.857717769	11.76909635	12.46888021	13.32659798	0.967255793	1.395924485	-0.795036811	0.326645333	-0.058344924	0.003613287	-0.129926292	2.071343711	0.434417962	-0.297255297	-0.071601735	0.030391862	0.016062528	1.091204323	0.001450944	0.038672079	8.968478513	0.000651135	2.4297	0.049521	2.9742	0.43036	2.7749	0.19386	2.8467	0.19948	0.8756	1.0448	2.0682	4.6359	0.10779	6.1751	0.89732	5.1077	0.40217	5.8324	0.40625	0.90763	1.0588	18.859	-0.051143	-0.0060421
6000	6000.000022	5999.489023	11741.70462	0.999999996	11.76934668	0.943352295	19.98606037	4.464217473	-2.383497199	-59.58204426	0.500846685	0.541433557	0	0	0.133960991	1.699567363	4.464217473	-85.53578253	14.27041874	1.001390236	0.699784848	0.85793491	11.76934668	12.46913153	13.32706644	0.958071508	1.406869217	-0.801446488	0.327782284	-0.058321169	0.003600153	-0.121676384	2.027230238	0.408301224	-0.278495787	-0.064032083	0.026944518	0.016061517	1.091135635	0.001448272	0.039724186	9.036438929	0.000676905	2.5161	0.03897	3.0318	0.42774	2.8694	0.20046	2.9115	0.20403	0.87688	1.0413	2.0318	4.7239	0.083323	6.1669	0.87498	5.1911	0.40677	5.762	0.40273	0.91	1.0703	19.3175	0.0091047	-0.22738
6035	6035.000022	6034.489023	11810.19789	0.999999996	11.76911083	0.942064113	20.10254875	4.44256315	-2.382195401	-58.67194685	0.500610834	0.540190723	0	0	0.133257825	1.699612709	4.44256315	-85.55743685	14.27037339	1.001395067	0.701779769	0.857418673	11.76911083	12.4708906	13.32830928	0.966757524	1.396945198	-0.795383863	0.3263838	-0.05822503	0.003601537	-0.113475108	1.912034257	0.340714605	-0.233544705	-0.046447956	0.019320529	0.0160642	1.091317907	0.001448033	0.042808929	9.155031782	0.000797854	2.5527	0.0303	2.956	0.40924	2.8882	0.20179	2.863	0.20062	0.88383	1.0325	2.1075	4.6986	0.063564	6.2467	0.86485	5.0542	0.40709	5.7347	0.40442	0.92964	1.0893	19.126	0.017475	-0.2099
